id,Tweet,Date
1564750691159212033,"Chelsea fans go and sleep.. we won’t let you sack your coach!! Never😂😂😂

Abramovich || Dr UN || E-levy ||",2022-08-30 23:03:31+00:00
1564739868399394816,"@JoyNewsOnTV Without e-levy, our roads won't be fixed... Lame ass excuse. What were the road tolls doing then?",2022-08-30 22:20:30+00:00
1564731400925978626,@Ghanasoccernet @pumafootball These ones are even nice ... you did that trash for us because of e-levy ryt,2022-08-30 21:46:51+00:00
1564730558818799618,@Sark_Lawyer @PhameQuasi Hmmm E-levy has made Chelsea to stopped electronic transactions... there by making them fall short in the transfer window. Sad!😭🤣🤣,2022-08-30 21:43:31+00:00
1564724897833779200,"@VodafoneGhana   , have u guys started charging for MoMo transfers ??  And since when ? ( other than e-levy ) ????",2022-08-30 21:21:01+00:00
1564720378412408832,"@PulseGhana U guys were the same people who said the E-levy was for youth employment.
My goodness 😂😂",2022-08-30 21:03:03+00:00
1564699277925965824,"@Citi973 Previous governments fixed roads, constructed new roads without E-Levy yet this Nana Addo government is claiming it can’t fix roads &amp; construct new ones without E Levy, even after borrowing more than all previous governments in 4th republic combined. A clear admission of failure",2022-08-30 19:39:13+00:00
1564695385121120262,"Roads and Highways Minister, Kwesi Amoako Atta says more roads would have been repaired across the country if Ghanaians had supported the e-levy.

He made the observation when he appeared  before Parliament's Government Assurances Committee

#3NewsGH",2022-08-30 19:23:45+00:00
1564691989047697408,"@PulseGhana So @PulseGhana  u want most of us to tell someone’s Husband and Dad, that he is a fool for saying that but no we won’t Daa. Was is not this same old fool that closed booths Because of the E-Levy ? I guess he forgot that the E-Levy plus the booths could have fixed the road’s",2022-08-30 19:10:15+00:00
1564687596416077824,@PulseGhana Government would have fixed more roads if you had not canceled road tolls.Should e-levy be the only source of revenue to develop our road networks?I see e-levy as robbery in broad day light by government.,2022-08-30 18:52:48+00:00
1564685807847366658,"@TheGhanaWeb Borrowed monies couldn't construct good roads for Ghanaians and you thinking peanut E-LEVY, man be serious you people have taken Ghanaians for granted with lies for a very long fucking time and nature will judge you all. Gyiimea saaa",2022-08-30 18:45:41+00:00
1564679598805291008,We Dey pay E-levy but still the country inside hard pass. Kenkey is now sold for 3gh upwards. Hw3! No more 2gh eeii!,2022-08-30 18:21:01+00:00
1564672249076105217,"@PulseGhana Which support is he talking about here again,E-Levy is still functioning so what are u saying or he want us to just go deposit 💵 and transfer money 💰 for no reason? What support is he looking for",2022-08-30 17:51:49+00:00
1564671068362645505,@TheGhanaWeb Upon all the roads that were constructed before Nana Addo became President you want us to believe without E-Levy You can’t construct new roads? That is itself is an admission of failure.,2022-08-30 17:47:07+00:00
1564670307603980288,"Dear small business owner, think like a customer.

E-levy Martinez dan James Arsenal and Liverpool #TaxiDriverShow atimpoku shell afena gyan upsa #GoodMorningGhana Milan #FSGOUT Phil Jones boehly Dr un blackberry col damoah yakubu kante villa 2022 world cup",2022-08-30 17:44:06+00:00
1564660956545880068,@PulseGhana So are these people saying we are not paying the E-levy??,2022-08-30 17:06:56+00:00
1564660005986500610,@PulseGhana His multicoloured face like alewa. Isn't he the one who ordered the road toll collection to be seized? Aren't we paying the e-levy? What foolish excuse is there again?,2022-08-30 17:03:10+00:00
1564657531686895618,"@PulseGhana 2021 was year of road, was there E-levy. think before you talk.",2022-08-30 16:53:20+00:00
1564657157697671174,@PulseGhana See this nonsense..Are we not paying the E-levy?,2022-08-30 16:51:50+00:00
1564656699016978440,"@elorm_fcb @1Obama_ Judah mu dzata de3 anka the man fit play plus the cubs sef, but e-levy mu dzata de3 don’t try cos the pesewas some nor dey reach there.",2022-08-30 16:50:01+00:00
1564654362923786242,@PulseGhana When he was making the promises he didn’t mention E-levy,2022-08-30 16:40:44+00:00
1564649450286505984,@NsiaAvena @johnkumah_Esq They passed E-levy and then rushed to the IMF.,2022-08-30 16:21:13+00:00
1564649169721196545,We dey pay e-levy but still the country inside hard pass. Groundnut is now sold for 1gh. Kw3! No more 50ps eeeiii!,2022-08-30 16:20:06+00:00
1564630461565095937,"Amoako Atta lamented the failure of the controversial e-levy to rake in the expected revenue and argued that had Ghanaians supported the tax measure, more roads would have been fixed across the country.",2022-08-30 15:05:46+00:00
1564618205997547520,@Adomonline Why E-Levy and not adequate property taxes on the mansions you and your political/business class live in?,2022-08-30 14:17:04+00:00
1564609318162518033,@Cassielforson @papakwesi_jr @johnkumah_Esq Hon don't waste your time with that useless John kumah. This is how he went forth and back with @samgeorgegh on E-levy charges until he was proven wrong.,2022-08-30 13:41:45+00:00
1564603884219277315,"In the beginning they cancelled road tolls and brought E-levy so that we could avoid IMF. Now we are going to the IMF, paying road tolls and E-levy.",2022-08-30 13:20:09+00:00
1564599618171699200,"@ZoeAbuBaidoo @Citi973 Our road minister decides to stop collecting road tolls that has been tried and tested and turn attention to e-levy, a tax vehemently opposed by the people who gave u power. Today u are given excuses for stalled road projects...smh #Middaynews",2022-08-30 13:03:12+00:00
1564599343893680130,@A__pinto thank you for contacting us. E-Levy debit may be as a result of various factors. Kindly dm us her contact or have her contact us for further assistance. Thank you for choosing CalBank,2022-08-30 13:02:07+00:00
1564591845287550976,"@johnkumah_Esq @Cassielforson This is how you ignorantly was shooting your mouth when Sam George raised issues about E-levy until the truth exposed you.

You are at it again! Criminals!!!",2022-08-30 12:32:19+00:00
1564590360978141185,Why am I being charged e-levy on a 100 cedis transaction?,2022-08-30 12:26:25+00:00
1564587390861295617,"Taking his turn before Parliament's Government Assurances Committee, Kwesi Amoako Atta lamented the failure of the controversial e-levy to rake in the expected revenue and argued that had",2022-08-30 12:14:37+00:00
1564561399636021248,"@FAnnohDompreh What has free education go to do with covid ? 
You claim is inaccurate, Togo paid rent for their people and gave stipends as well. 

None of these countries have introduced covid levy and e-levy in this covid era",2022-08-30 10:31:20+00:00
1564551048877989888,@gyaigyyimii Why are we still paying E-Levy?,2022-08-30 09:50:12+00:00
1564540727446601728,"@darks_andy Are you also aware that in this tough time, Ghanaians are paying e-levy? 😂😂",2022-08-30 09:09:11+00:00
1564532432480632832,It's a pain paying that E-levy,2022-08-30 08:36:14+00:00
1564515468899123201,Dear @MTNGhana if E-levy is not charged on transfers between our own accounts why charges us fees for same transactions? This has to change asap. @thenanaaba @gyaigyimii @Bridget_Otoo @benkoku @berlamundi @hughes_onair @caroline4real  @delayghana @kwadwosheldon @CitiTVGH,2022-08-30 07:28:49+00:00
1564515150991876097,"@kobe_4dPeople @BloombergAfrica Lol 🤣 go and look at the kind of things presidents are doing to help citizens, have you not increased taxes? Have you not introduced covid levy and e-levy very dumb to tell me this is a caring president bullshit. I have to pay a levy just to send my daughter her pocket money",2022-08-30 07:27:33+00:00
