id,Tweet,Date,sentiment_score,sentiment
1531424966389903360,joynewsontv hes liar cuz theyre merchant sim cards also owns momo enterprise around theyre exempt elevy thieves taxing ordinary ghanaian main target e levy tax ask dont momo,2022-05-30 23:58:59+00:00,1,Very Negative
1531423419287347201,joynewsontv illegal thing elevy momo venders transaction since momo implemented mode operation since become illegalsmh,2022-05-30 23:52:50+00:00,1,Very Negative
1531418081481867265,christ sake war ukraine russia must endweapons weapons weapons war continuous innocent people dying everydaysuctions rushed without second thought killing innocent souls war itselfelevy cant pay,2022-05-30 23:31:37+00:00,1,Very Negative
1531411651626422274,fatsinyi never paid elevy,2022-05-30 23:06:04+00:00,1,Very Negative
1531409525747683334,adb_ghana adb deduct elevy failed transactions mobile appthats thieveryrefund deductions work system avenue steal customers money,2022-05-30 22:57:37+00:00,1,Very Negative
1531404317328015367,lawrenceawallac joynewsontv maybe didnt understand joy fm saying sending vendor means instead sending phone another go give vendor cash send person send phone elevy would tax vendor wen dey send,2022-05-30 22:36:56+00:00,1,Very Negative
1531403836618854402,ask girl paaa dirrr anka make nana addo carry elevy go percent,2022-05-30 22:35:01+00:00,1,Very Negative
1531401168651526149,enochhhhh barcatimes gerardromero elevy deductions bruh,2022-05-30 22:24:25+00:00,1,Very Negative
1531399425247129600,feel like people wouldnt mad elevy announced national scale kenkey party,2022-05-30 22:17:29+00:00,1,Very Negative
1531393922894811136,send u contribution ur wedding n naming ceremony nakufoaddo messed long journey fares fuel prices going eiii even forgot oo contribution go send sef go tear elevy,2022-05-30 21:55:37+00:00,1,Very Negative
1531393301177311234,joynewsontv thought smarter citizens much smarter including supper incompetent emt lead dr bawumia elevy illegality next ndc government jan repeal,2022-05-30 21:53:09+00:00,1,Very Negative
1531392264743837696,joynewsontv seen anything yet elevy illegal mmoa,2022-05-30 21:49:02+00:00,1,Very Negative
1531390445586206721,kelvi_nnn yes lmao elevy doesnt affect,2022-05-30 21:41:48+00:00,1,Very Negative
1531388798365585414,joynewsontv introduction elevy send money vendors whats man sayingsomebody tell go sleep,2022-05-30 21:35:16+00:00,1,Very Negative
1531388473785077760,way ursula owusu serious talking need accept elevy wish lead charge removal luxury tax sanitary pads,2022-05-30 21:33:58+00:00,1,Very Negative
1531385994083287040,aba_hawk cause human vehicular traffic town youre feared elevy,2022-05-30 21:24:07+00:00,1,Very Negative
1531384450415722496,ive debited elevy charge bloody hell elevy charge debited account without transaction done,2022-05-30 21:17:59+00:00,1,Very Negative
1531383614289715202,elevy prices goods still keeps going upno development happening campaigned elevy,2022-05-30 21:14:40+00:00,4,Positive
1531383257681510406,saddickadams elevy embedded already,2022-05-30 21:13:15+00:00,1,Very Negative
1531381271775035392,joynewsontv bank transfers k elevy thank later,2022-05-30 21:05:21+00:00,1,Very Negative
1531379549988167683,look like tourism money workingafter boom december season astronomical price increments goods services characterizes season fuel increased times constant flooding dumsor poor water distribution amp elevy,2022-05-30 20:58:31+00:00,2,Negative
1531379317250342913,done destroyed one moron bald headed wisdom inside ghana wisdom govern ones brains pride wont even make seek counsel hows elevy going bn mark old folkstabi_henry,2022-05-30 20:57:35+00:00,1,Very Negative
1531378561038295041,joynewsontv npp government get sense small inside cos elevy exposed paaaa ooo,2022-05-30 20:54:35+00:00,1,Very Negative
1531374591255388160,ghanasocialu illegal policy elevy amended rightful way criminals want work stomachs talk even shows really need psychiatrist,2022-05-30 20:38:48+00:00,1,Very Negative
1531374536209453056,kafuidey cwejodipcy_jay thing working ghana elevy lands shared p3 aside nothing else,2022-05-30 20:38:35+00:00,5,Very Positive
1531373798087442432,joynewsontv going use infrared technology send momo thats way devices communicate close proximity one another elevy illegality,2022-05-30 20:35:39+00:00,1,Very Negative
1531370516354850817,pitingle123 joynewsontv ask bro paying commission transactions want get elevy,2022-05-30 20:22:37+00:00,1,Very Negative
1531368308892639232,asimbisahsumpaa paying elevy bro,2022-05-30 20:13:50+00:00,3,Neutrial
1531367960874467328,saddickadams u commort elevy frm inside already,2022-05-30 20:12:27+00:00,1,Very Negative
1531366132812234757,pay elevy pay dues twitter retweet groupsome people fool ooo,2022-05-30 20:05:12+00:00,1,Very Negative
1531365309306773505,shouldnt allow politicians deceive us dont enough money fund budget n resort elevy n borrowing plugged numerous tax loopholes took ownership natural resources would abundant financial resources amshow,2022-05-30 20:01:55+00:00,1,Very Negative
1531364903184908292,paid ghc elevy today soul upset since,2022-05-30 20:00:18+00:00,1,Very Negative
1531364768782622721,shouldnt allow politicians deceive us dont enough money fund budget n resort elevy n borrowing plugged numerous tax loopholes took ownership natural resources would abundant financial resources joysms,2022-05-30 19:59:46+00:00,1,Very Negative
1531363151018704897,imagine elevy passed john mahama fuel cedi per liter,2022-05-30 19:53:21+00:00,1,Very Negative
1531361380212826114,thenanaaba paying elevy dont worry,2022-05-30 19:46:19+00:00,1,Very Negative
1531359192627531776,wode_maya wait cedis wai elevy economy make use buy black stars jersey goodness,2022-05-30 19:37:37+00:00,5,Very Positive
1531354510723010564,joynewsontv creating technology check radius elevy transactions man okay imprtnt things need tech moreover whats problem want dodge eeii bibiniii,2022-05-30 19:19:01+00:00,3,Neutrial
1531353820751712256,fantsehemaa unless ask elevy committee oh,2022-05-30 19:16:16+00:00,1,Very Negative
1531353424687681539,emmanuelayamga_ lol true seen people evading elevy,2022-05-30 19:14:42+00:00,1,Very Negative
1531350960068603905,a_certain_tutu joynewsontv already illegal act elevy came,2022-05-30 19:04:54+00:00,1,Very Negative
1531349870707089408,kojodessyy app go tear u transactions elevy think,2022-05-30 19:00:34+00:00,1,Very Negative
1531349269235507201,saddickadams please elevy money accrued govtpls start working use money excuse,2022-05-30 18:58:11+00:00,1,Very Negative
1531347685206372353,hope win world cup talking leaks support nana addo introducing elevy,2022-05-30 18:51:53+00:00,1,Very Negative
1531346384963739649,rexfordkwame whats wrong free garbage collection cant affordthe poorest communities much cost compared elevy taking,2022-05-30 18:46:43+00:00,1,Very Negative
1531346273760071681,tariq lamptey ghana giving attention someone clearly want chase clout wont government introduce elevy,2022-05-30 18:46:17+00:00,1,Very Negative
1531344986566008835,month elevy,2022-05-30 18:41:10+00:00,1,Very Negative
1531342841397616641,elevy one month tomorrow due respect want finance minister render account sharp,2022-05-30 18:32:39+00:00,1,Very Negative
1531342404426641408,shouldnt allow politicians deceive us dont enough money fund budget resort elevy borrowing plugged numerous tax loopholes took ownership natural resources would abundant financial resources,2022-05-30 18:30:54+00:00,1,Very Negative
1531340755867996160,joynewsontv makes illegal elevygovernment force taxes around necks go bank deposit money peoples account isnt illegal,2022-05-30 18:24:21+00:00,1,Very Negative
1531337377771311104,saddickadams unless use elevy buy us,2022-05-30 18:10:56+00:00,1,Very Negative
1531336282223288320,joynewsontv illegal thing elevy,2022-05-30 18:06:35+00:00,1,Very Negative
1531331635077074944,far elevy,2022-05-30 17:48:07+00:00,3,Neutrial
1531331141726359553,saddickadams ac milan suf way win cup much dema shirts suf way dis banku country use elevy money supply us shirts,2022-05-30 17:46:09+00:00,1,Very Negative
1531328252350025736,founda__ ghana ay3 shi ooo everybody dey charge e elevy herh,2022-05-30 17:34:40+00:00,1,Very Negative
1531327033283944448,joynewsontv makes illegal insinuating one walk bank make depositcash transactions behalf another person clause elevy act makes illegal make deposit transfer someones behalf,2022-05-30 17:29:50+00:00,1,Very Negative
1531324741054775297,elevy burden mankind citizens ghana problems wahala asantehene sir john,2022-05-30 17:20:43+00:00,5,Very Positive
1531320601943605249,jeffkobiii ck_mdoe vat components total tax sanitary pads elevy want buy someone cant afford,2022-05-30 17:04:16+00:00,1,Very Negative
1531319140480434185,afiasisterr elevy sucks bro people prefer use momo pay,2022-05-30 16:58:28+00:00,1,Very Negative
1531318874003619841,naaayeleyquaye brhymer lawrenceawallac joynewsontv please continue legal dont need pay elevy dont need,2022-05-30 16:57:24+00:00,1,Very Negative
1531316021868601347,evans_neyo oh elevy de3 forget already,2022-05-30 16:46:04+00:00,1,Very Negative
1531314389277614082,ex elevy choose one,2022-05-30 16:39:35+00:00,5,Very Positive
1531308877966344193,joynewsontv dont also send momo elevy,2022-05-30 16:17:41+00:00,1,Very Negative
1531308717727260673,almost month since elevy implemented majorminor change happened ghana since implementation,2022-05-30 16:17:03+00:00,1,Very Negative
1531308363589554177,saddickadams cool u pay elevy top,2022-05-30 16:15:38+00:00,5,Very Positive
1531307309804269570,yaw_apoddy send money vendors elevy dey back anaa,2022-05-30 16:11:27+00:00,1,Very Negative
1531304229801009152,days since elevy passed yet told much collected god help ghana,2022-05-30 15:59:13+00:00,5,Very Positive
1531299904110346240,paid elevy today first time since inception tax really ghetto,2022-05-30 15:42:01+00:00,1,Very Negative
1531299133964828672,akua_ohenewaaa meet home elevy,2022-05-30 15:38:58+00:00,5,Very Positive
1531298000856817666,joynewsontv something freely illegal sickening elevy,2022-05-30 15:34:28+00:00,1,Very Negative
