id,Tweet,Date
1542290291360776193,I will be a fool to also pay e-levy already am broke nw,2022-06-29 23:33:54+00:00
1542281432202108928,The E-Levy Phase 2 deɛ unless you people run 🤨,2022-06-29 22:58:42+00:00
1542277891471319043,@abenamagis Eiii... Really?? A new e-levy anaa??,2022-06-29 22:44:38+00:00
1542277569369833472,"From 1st July, if I deposit money into my own mobile money wallet, I'll be deducted e-levy? How?",2022-06-29 22:43:21+00:00
1542275252302106624,"@TheDapper_ The thing sef we shun already, today e-levy tomorrow momo fraud 🤦🤦",2022-06-29 22:34:08+00:00
1542274786352578561,I want to know if The CAG also pays E-levy on the  salaries of Govt workers?... 🤔,2022-06-29 22:32:17+00:00
1542273762007072774,"@BBSimons They will use E-levy for it whilst they take Ghana to IMF to suffer as @GabbyDarko has already started.
That way they won't account for the E-levy they've taken so far.",2022-06-29 22:28:13+00:00
1542268287131713540,"Ah I join space make them Dey fight over snapscore. @NAkufoAddo The E-levy no , unless you double am. We’re not angry enough",2022-06-29 22:06:28+00:00
1542267300262432770,@iLatif_ @MubarickAli1 Till we stop paying E-levy 🤣🤣,2022-06-29 22:02:32+00:00
1542261374881075200,"So GRA chose to use a taxi driver wearing a gold watch to convince us to pay E-levy😳. Okay! No problem, I rest my case😏",2022-06-29 21:39:00+00:00
1542260611161235457,@Korshie_Photos @korankyeben @unis_queen Hahahahaha aswear boys dey make money… lol no e-levy sh*t,2022-06-29 21:35:58+00:00
1542257049186213888,"You dey want E-Levy, you san dey stress me say make I link my Ghana Card or you go block my Sim.
na quickloan adey go take seff.",2022-06-29 21:21:48+00:00
1542253993061236737,"wait oooooo 
so one network company wants to tell me av use 3gig in less than 24hours 

😳😳😳😳😳😳

abeg the bundle tooo E-Levy catch um anaaa???  #FixTheCountry",2022-06-29 21:09:40+00:00
1542253248698109954,"#BackYardSpace
Toto ho E-levy sneaker nyame hi fool ruff😂😂",2022-06-29 21:06:42+00:00
1542251971461189632,"@Cantonment_lord I'm surprised it hasn't been started mpo
The roads minister keeps promising the former toll workers that they'll be recalled. One interview I watched, the woman said they were told they'll be recalled after the introduction of the e-levy",2022-06-29 21:01:38+00:00
1542249345927479301,"E-levy fails and politrick-cians blame everyone but themselves for the resistance shown in the face of what citizens term a plot to rip them of their livelihood. Clearly, the govt. does not appreciate that the main message being sent is that the Ghanaian no longer trusts the",2022-06-29 20:51:12+00:00
1542249344769867780,If the government make the merchant people pay e-levy ego bi paaaa 😂😂,2022-06-29 20:51:12+00:00
1542248788190019586,"@yasmenah_GH @sulemana They refused to Drop the E-levy
They refused to scrap the sanitation levy on petroleum products

They refused to remove the price stabilisation levy on petroleum products

They refused to stop sharing Achimota Forest land Forever.

All these are cry of the ordinary ghanaian",2022-06-29 20:48:59+00:00
1542248614852018176,@flavamatik Merchant accounts would now be paying E-levy that's what it means.,2022-06-29 20:48:18+00:00
1542247759989940224,GRA TO CHARGE E-LEVY ON MERCHANT SIMS FROM 1ST JULY @gyaigyimii @tv3_ghana @CitiTVGH @Cypux,2022-06-29 20:44:54+00:00
1542246168528388098,"There is E-levy Phase 2. 
Merchant numbers are going to pay e-levy starting from 1st July 😂😂😂",2022-06-29 20:38:34+00:00
1542234369817038853,"Apparently, there is E-levy Part 2.
Merchant numbers are going to pay.
Beginning 1st July.
Amazing!
Haha",2022-06-29 19:51:41+00:00
1542223254647103491,"Tell Ghanaians the truth. 

We mismanaged funds. We can’t sack our family members. We chose  E-levy over IMF. We can’t do it. We failed.",2022-06-29 19:07:31+00:00
1542220584817410049,Phase 2 of E-LEVY,2022-06-29 18:56:55+00:00
1542216004239073283,"@AdomOtchere Hahaha 😂😀😂😂😂, you can use some of the E-Levy money to buy new ones. Ghana have plenty money 💰💰💰💰💰💰",2022-06-29 18:38:43+00:00
1542211765295087616,@dushie7 Go to the vendor and send. No e-levy charges,2022-06-29 18:21:52+00:00
1542211512621826048,@_owurakuampofo Can we gather the e-levy money ?,2022-06-29 18:20:52+00:00
1542211359785598976,@abenasikagh E-levy charges I want you to come in person,2022-06-29 18:20:15+00:00
1542211062111551489,@thenanaaba Wall of Jericho👀 not knowing the “e” in the Jericho Dey stand for e-levy,2022-06-29 18:19:04+00:00
1542210023224385536,@woye1 Is a 2day protest by Ghana Arise Group on the hike of the cost of petrol and e-Levy policy introduced by the Akuffo Addo government. Approval was sought for the protest from the police.,2022-06-29 18:14:57+00:00
1542206715042889728,"@Kabu_XIV @1BigDarl this be what show boy dems need, no be e-levy or imf. solid odds.",2022-06-29 18:01:48+00:00
1542206272862359555,"@abenamagis I should think the e-levy figures are just one of May to June, which typically doesn't define whether it is a fiasco or not. I takes a year to determine whether it proceeds will match up to expected projections.  Hence comparing it to the cathedral does not sit well",2022-06-29 18:00:02+00:00
1542203320156184578,@GideonOpokuAgy1 @GabbyDarko Ghanaians are not afraid to pay taxes nor are they so unpatriotic. They've been paying taxes all the time except the in-power elites who pay next to nothing. Even head porters pay levies. What is wrong about the e-levy is proven by the revenue outcomes.,2022-06-29 17:48:18+00:00
