id,Tweet,Date
1531424966389903360,"@JoyNewsOnTV He’s a liar, cuz they’re having merchant SIM cards and also owns some of this MoMo enterprise around so they’re exempt from the e-levy. Thieves taxing an ordinary Ghanaian is main target for this e levy tax. Ask him what if I don’t have MOMO?",2022-05-30 23:58:59+00:00
1531423419287347201,"@JoyNewsOnTV The only illegal thing here is the e-levy...Momo venders have been doing this transaction since momo was implemented and that was their mode of operation...since when has it become illegal?
smh",2022-05-30 23:52:50+00:00
1531418081481867265,"For Christ sake the war between Ukraine and Russia must end.
Weapons, weapons weapons, and the war continuous. Innocent people are dying everyday.
Suctions were rushed without second thought and is killing innocent souls than the war itself.
E-levy can't pay for this.",2022-05-30 23:31:37+00:00
1531411651626422274,@fatsinyi I never paid e-levy. 🙏🏾🙏🏾🙏🏾,2022-05-30 23:06:04+00:00
1531409525747683334,"@adb_Ghana How does adb deduct e-levy on failed transactions on the mobile app?
That's thievery!!!
Refund those deductions and work on your system. 
This should not be an avenue to steal customers money.",2022-05-30 22:57:37+00:00
1531404317328015367,"@LAWRENCEAWALLAC @JoyNewsOnTV Maybe you didn't understand what Joy FM is saying. 
Sending through a vendor means that instead of you sending from your phone to another. You go and give the vendor cash to send to the person. If you send from you phone, E-Levy would tax you but not the vendor wen dey send.",2022-05-30 22:36:56+00:00
1531403836618854402,To ask a girl out paaa dirrr anka make nana addo carry e-levy go 40 percent,2022-05-30 22:35:01+00:00
1531401168651526149,@enochhhhh @BarcaTimes @gerardromero E-Levy deductions bruh,2022-05-30 22:24:25+00:00
1531399425247129600,I feel like people wouldn’t have been mad if the e-levy was announced at a national scale kenkey party.,2022-05-30 22:17:29+00:00
1531393922894811136,"I can only send u my contribution to ur wedding n naming ceremony, @NAkufoAddo messed up my long journey fare(s)....

Fuel prices going up again, 7%

Eiii I even forgot oo, that contribution a go send sef he go tear E-levy 🤦🏿‍♂️🤦🏿‍♂️",2022-05-30 21:55:37+00:00
1531393301177311234,"@JoyNewsOnTV You thought you are smarter. The CITIZENS are much more smarter than you including your supper incompetent EMT lead by Dr. Bawumia. 

E-Levy itself is the ILLEGALITY. 

The next NDC government in Jan. 2025 will REPEAL it",2022-05-30 21:53:09+00:00
1531392264743837696,@JoyNewsOnTV You have not seen anything yet. The e-levy itself is illegal. Mmoa.,2022-05-30 21:49:02+00:00
1531390445586206721,@Kelvi_nnn Yes .. lmao ..e-levy doesn’t affect it,2022-05-30 21:41:48+00:00
1531388798365585414,"@JoyNewsOnTV Before the introduction of E-levy, we do send money through vendors so what's this man saying

Somebody should tell him to go and sleep",2022-05-30 21:35:16+00:00
1531388473785077760,The way Ursula Owusu was serious and talking about the need to accept E-LEVY I wish she will lead the charge for the removal of the 20% luxury tax on sanitary pads.,2022-05-30 21:33:58+00:00
1531385994083287040,@Aba_hawk This is how you cause human and vehicular traffic in town? You’re to be feared more than e-levy.,2022-05-30 21:24:07+00:00
1531384450415722496,"I’ve was debited e-levy charge, what the bloody hell is the e-levy charge being debited on my account without any transaction being done",2022-05-30 21:17:59+00:00
1531383614289715202,"After E-levy ,prices of goods still keeps going up,no development is happening, so those who campaigned for the e-levy no where are they",2022-05-30 21:14:40+00:00
1531383257681510406,@SaddickAdams Is e-levy embedded in it already?,2022-05-30 21:13:15+00:00
1531381271775035392,@JoyNewsOnTV Bank transfers under 20k no e-levy. Thank me later,2022-05-30 21:05:21+00:00
1531379549988167683,"And does it look like tourism money is working?
After the boom of the December season and the astronomical price increments of goods and services that characterizes the season, we have had fuel increased about 10 times, constant flooding, Dumsor, poor water distribution &amp; e-levy.",2022-05-30 20:58:31+00:00
1531379317250342913,"All she has done is been destroyed by one moron and bald headed but no wisdom inside. 

In Ghana, no wisdom to govern but we're the ones with the brains. Pride won't even make them seek counsel. 
How's the E-Levy going? The $6bn mark. 
In all these are old folks
@tabi_henry",2022-05-30 20:57:35+00:00
1531378561038295041,@JoyNewsOnTV So this NPP government who get sense small for inside? Cos this E-Levy has exposed them paaaa ooo,2022-05-30 20:54:35+00:00
1531374591255388160,@GhanaSocialU Illegal policy such e-levy has been amended not on it rightful way by you criminals and you want it to work for your stomachs... This talk even shows that you really need a psychiatrist,2022-05-30 20:38:48+00:00
1531374536209453056,"@KafuiDey @cwejodipcy_jay The only thing working in Ghana is E-levy and the lands being shared p3, aside that nothing else 😂😂🤣",2022-05-30 20:38:35+00:00
1531373798087442432,"@JoyNewsOnTV 🤣🤣🤣🤣 they are now going to use infrared technology to send Momo. That’s the only way the devices can communicate in close proximity with one another. 
The e-Levy itself is the only illegality here!!",2022-05-30 20:35:39+00:00
1531370516354850817,@pitingle123 @JoyNewsOnTV Ask again bro. Then why are they paying commission for such transactions... They just want to get the e-levy,2022-05-30 20:22:37+00:00
1531368308892639232,@Asimbisahsumpaa We not paying the e-levy bro,2022-05-30 20:13:50+00:00
1531367960874467328,@SaddickAdams U commort e-levy frm inside already 🙄🙄,2022-05-30 20:12:27+00:00
1531366132812234757,"you will not pay E-Levy but you will pay dues on twitter retweet group😂😂😂

some people fool ooo💯",2022-05-30 20:05:12+00:00
1531365309306773505,"We shouldn't allow our politicians to deceive us that we don't ve enough money to fund our budget N that we ve to resort to e-levy N borrowing. If we plugged the numerous tax loopholes and took ownership of our natural resources, we would ve abundant financial resources #AMShow",2022-05-30 20:01:55+00:00
